Campaign Report
"Title:","Welcome Back Newsletter"
"Subject Line:","Novidades no Zap Músico!"
"Delivery Date/Time:","Mon, Sep 28, 2015 05:27 pm"

"Overall Stats"
"Total Recipients:","5,163"
"Successful Deliveries:","4,824"
"Bounces:","339 (6.6%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","790 (16.4%)"
"Total Opens:","1,038"
"Last Open Date:","9/29/15 9:52PM"
"Recipients Who Clicked:","137 (2.8%)"
"Total Clicks:","159"
"Last Click Date:","9/29/15 9:26PM"
"Total Unsubs:","5"
"Total Abuse Complaints:","6"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"http://www.zapmusico.com.br?utm_source=M%C3%BAsicos+Zap+M%C3%BAsico&utm_campaign=bf5a7dffdb-Welcome_Back_Newsletter9_28_2015&utm_medium=email&utm_term=0_1b5ef255da-bf5a7dffdb-[LIST_EMAIL_ID]&ct=t(Welcome_Back_Newsletter9_28_2015)","114","106"
"http://www.zapmusico.com.br/?utm_source=M%C3%BAsicos+Zap+M%C3%BAsico&utm_campaign=bf5a7dffdb-Welcome_Back_Newsletter9_28_2015&utm_medium=email&utm_term=0_1b5ef255da-bf5a7dffdb-[LIST_EMAIL_ID]&ct=t(Welcome_Back_Newsletter9_28_2015)","27","24"
"https://www.facebook.com/zapmusico?utm_source=M%C3%BAsicos+Zap+M%C3%BAsico&utm_campaign=bf5a7dffdb-Welcome_Back_Newsletter9_28_2015&utm_medium=email&utm_term=0_1b5ef255da-bf5a7dffdb-[LIST_EMAIL_ID]&ct=t(Welcome_Back_Newsletter9_28_2015)","11","8"
"http://www.zapmusico.com.br/messages.php?utm_source=M%C3%BAsicos+Zap+M%C3%BAsico&utm_campaign=bf5a7dffdb-Welcome_Back_Newsletter9_28_2015&utm_medium=email&utm_term=0_1b5ef255da-bf5a7dffdb-[LIST_EMAIL_ID]&ct=t(Welcome_Back_Newsletter9_28_2015)","6","5"
"https://twitter.com/ZapMusico1?utm_source=M%C3%BAsicos+Zap+M%C3%BAsico&utm_campaign=bf5a7dffdb-Welcome_Back_Newsletter9_28_2015&utm_medium=email&utm_term=0_1b5ef255da-bf5a7dffdb-[LIST_EMAIL_ID]&ct=t(Welcome_Back_Newsletter9_28_2015)","1","1"
